Video Title,Notes,Image 1,Image 2,Image 3,image 4,Credit Image,MP3,Youtube tags,Data record number
Juan Florer - Misirlou - 4 Star 1006,"Title: Misirlou ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Bongos, Danny Van Allen - Drums, Russel Soule - Guitar ;Record Label: 4 Star ;Matrix Number: V-113-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/misirlou;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1006_V-113-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1006_V-113-ME.mp3,Frontera Collection; beguine bolero,13
Juan Florer - Marion Nichols - Linda Mujer - 4 Star 1006,"Title: Linda Mujer ;Artist: Juan Florer - Marion Nichols ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Bongos, Danny Van Allen - Drums, Russel Soule - Guitar ;Record Label: 4 Star ;Matrix Number: V-114-ME ;Recording Format: 78 ;Notes: This is sung in english and spanish. ; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/linda-mujer;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1006_V-114-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1006_V-114-ME.mp3,Frontera Collection; rhumba,14
Juan Florer - Juana - 4 Star 1007,"Title: Juana ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Bongos, Danny Van Allen - Drums, Russel Soule - Guitar ;Record Label: 4 Star ;Matrix Number: V-115-ME ;Recording Format: 78 ;Notes: This is sung in English. ; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/juana;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1007_V-115-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1007_V-115-ME.mp3,Frontera Collection; calypso,15
Juan Florer - El Choclo - 4 Star 1007,"Title: El Choclo ;Artist: Juan Florer ;Accompaniment: Michael Somogyi - Bass, Ivan Lopes - Bongos, Danny Van Allen - Drums, Russel Soule - Guitar ;Record Label: 4 Star ;Matrix Number: V-116-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/el-choclo;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1007_V-116-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1007_V-116-ME.mp3,Frontera Collection; rhumba,16
S. Miguelito Alejandro - Guadalajara - 4 Star 1013,"Title: Guadalajara ;Artist: S. Miguelito Alejandro ;Accompaniment: and Quartette, vocal: unknown duet ;Record Label: 4 Star ;Matrix Number: V-21-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/guadalajara;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1013_V-21-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1013_V-21-ME.mp3,Frontera Collection; huapango,17
S. Miguelito Alejandro - La Feria De Las Flores - 4 Star 1013,Title: La Feria De Las Flores ;Artist: S. Miguelito Alejandro ;Accompaniment: and Quartette ;Record Label: 4 Star ;Matrix Number: V-24-ME ;Recording Format: 78 ;Notes: (The Fair of Flowers).; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/la-feria-de-las-flores;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1013_V-24-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1013_V-24-ME.mp3,Frontera Collection; ranchera,18
S. Miguelito Alejandro - Las Alteñitas - 4 Star 1014,Title: Las Alteñitas ;Artist: S. Miguelito Alejandro ;Accompaniment: and Quartette ;Record Label: 4 Star ;Matrix Number: V-22-ME ;Recording Format: 78 ;Notes: (The Gay Ranchero); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/las-alte%C3%B1itas;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1014_V-22-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1014_V-22-ME.mp3,Frontera Collection; ranchera,20
S. Miguelito Alejandro - Ay Jalisco No Te Rajes - 4 Star 1014,"Title: Ay Jalisco No Te Rajes ;Artist: S. Miguelito Alejandro ;Accompaniment: and Quartette ;Record Label: 4 Star ;Matrix Number: V-23-ME ;Recording Format: 78 ;Notes: (Do Not Back Out, Jalisco); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/ay-jalisco-no-te-rajes;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1014_V-23-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1014_V-23-ME.mp3,Frontera Collection; corrido ranchero,21
Juan Florer - Voodoo Rhapsody - 4 Star 1015,Title: Voodoo Rhapsody ;Artist: Juan Florer ;Accompaniment: and the Cariocas ;Record Label: 4 Star ;Matrix Number: V-19-ME ;Recording Format: 78 ;Notes: This is sung in English; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/voodoo-rhapsody;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1015_V-19-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1015_V-19-ME.mp3,Frontera Collection; rhumba,22
Joe Carioca - Juan Florer - Negra Concentida - 4 Star 1015,Title: Negra Concentida ;Artist: Joe Carioca - Juan Florer ;Accompaniment: and the Cariocas ;Record Label: 4 Star ;Matrix Number: V-20-ME ;Recording Format: 78 ;Notes: (My Pet Brunette).  This is sung in English and Spanish.; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/negra-concentida;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1015_V-20-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1015_V-20-ME.mp3,Frontera Collection; rhumba,23
Reynaldo Y Laura - Por Eso No Debes - 4 Star 1016,Title: Por Eso No Debes ;Artist: Reynaldo Y Laura ;Accompaniment: Acompañmiento Instrumental ;Record Label: 4 Star ;Matrix Number: V-1A-ME ;Recording Format: 78 ;Notes: (You Owe Me Nothing); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/por-eso-no-debes;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1016_V-1A-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1016_V-1A-ME.mp3,Frontera Collection; bolero,24
Hermanas Hernandez - Carmen Y Laura - Amor Ciego - 4 Star 1016,Title: Amor Ciego ;Artist: Hermanas Hernandez - Carmen Y Laura ;Accompaniment: Acompañmiento Instrumental ;Record Label: 4 Star ;Matrix Number: V-1B-ME ;Recording Format: 78 ;Notes: (Blind Love); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/amor-ciego;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1016_V-1B-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1016_V-1B-ME.mp3,Frontera Collection; bolero,25
Carmen and Laura - Se Me Fue Mi Amor - 4 Star 1017,"Title: Se Me Fue Mi Amor ;Artist: Carmen and Laura ;Accompaniment: Isaac Figueroa - Accordion, Juan Garcia - Bajo sexto, Jesus Garcia - Contrabajo ;Record Label: 4 Star ;Matrix Number: V-2A-ME ;Recording Format: 78 ;Notes: (My Love Has Gone); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/se-me-fue-mi-amor;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1017_V-2A-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1017_V-2A-ME.mp3,Frontera Collection; corrido,26
Carmen and Laura - El Borrachito - 4 Star 1017,"Title: El Borrachito ;Artist: Carmen and Laura ;Accompaniment: Isaac Figueroa - Accordion, Juan Garcia - Bajo sexto, Jesus Garcia - Contrabajo ;Record Label: 4 Star ;Matrix Number: V-2B-ME ;Recording Format: 78 ;Notes: (The Little Drunkard); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/el-borrachito;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1017_V-2B-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1017_V-2B-ME.mp3,Frontera Collection; corrido,27
